Price_CLP,Price_UF,Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,id
309633000,8700,385595,Pudahuel,LosAlmendros,5,3.0,165.0,400.0,2.0,7016500
190406500,5350,237119,Maipú,CondominioLasCatalpas2,4,4.0,130.0,130.0,1.0,6992761
347002500,9750,432133,Pudahuel,Efeso,4,3.0,140.0,550.0,2.0,8201406
291838000,8200,363435,Pudahuel,CerrodeloAguirre,3,3.0,130.0,300.0,3.0,10653655
293617500,8250,365651,Pudahuel,LosAbedules,3,3.0,125.0,850.0,2.0,9951428
297176500,8350,370083,Pudahuel,Callenuevaunosur,4,3.0,120.0,420.0,2.0,9644944
241656100,6790,300942,Pudahuel,EsterodelCobre,3,3.0,130.0,170.0,1.0,10930337
533850000,15000,664819,LaFlorida,LaFlorida,16,12.0,389.0,890.0,3.0,2988676
180000000,5058,224159,Maipú,LasNaciones,5,3.0,136.0,153.0,2.0,9274473
168000000,4720,209215,PadreHurtado,CaminoBajosdeSta.Cruz342,4,3.0,130.0,180.0,2.0,10340252
109900000,3088,136862,Maipú,Pje.ArmandoCortinez345,3,2.0,85.0,120.0,1.0,10340294
160000000,4496,199253,PuenteAlto,CondominioJardinesdeLasVizcachas,3,3.0,85.0,180.0,2.0,6359377
155000000,4355,193026,Tiltil,Tiltil,7,3.0,250.0,1000.0,8.0,3776733
444875000,12500,554016,LoBarnechea,ElRodeo-NidodeAguilas,6,4.0,176.0,275.0,2.0,2652853
153037000,4300,190582,Maipú,CalleSantaNidia,4,3.0,107.0,145.0,,4003310
170000000,4777,211706,Conchalí,Nilahue,6,2.0,,,,11608988
90000000,2529,112080,Santiago,Verdi,4,2.0,,85.0,,11608956
136000000,3821,169365,SanBernardo,CondominioBarriónuevodenos,3,3.0,92.0,148.0,1.0,9060758
119000000,3344,148194,Maipú,Elsurazo,5,2.0,113.0,108.0,2.0,8805661
135000000,3793,168120,Maipú,SantaBerta,4,3.0,93.0,124.0,,9142610
270484000,7600,336842,LaFlorida,Sta.Delia7718,5,3.0,152.0,200.0,3.0,7806625
175000000,4917,217933,Maipú,RamayanacercaMetroPlazaMaipu,4,2.0,110.0,130.0,3.0,3995128
391490000,11000,487534,Providencia,MiguelClaro1950,4,2.0,229.0,248.0,2.0,9542577
325000000,9132,404732,Buin,Maipú490,4,2.0,127.0,450.0,4.0,9379847
85000000,2388,105853,Santiago,Carpay984,4,2.0,70.0,80.0,1.0,11572248
354120500,9950,440997,Colina,Sta.Elena278,3,3.0,118.0,350.0,3.0,9196861
81857000,2300,101939,PadreHurtado,pasajenarciso1809,3,2.0,53.0,65.0,1.0,10851413
165000000,4636,205479,PuenteAlto,Neculan,4,2.0,110.0,150.0,2.0,7469698
162000000,4552,201743,PuenteAlto,Mapulemu,3,2.0,80.0,140.0,1.0,9861911
1032110000,29000,1285318,LaReina,PalmasdeMallorca,7,6.0,260.0,700.0,4.0,9364512
426724100,11990,531412,Huechuraba,ElCarmen,4,3.0,170.0,450.0,5.0,11435116
153037000,4300,190582,Conchalí,Av.CardenalJoséMaríaCaro3638,5,2.0,248.0,292.0,2.0,6715809
139000000,3906,173101,Recoleta,AvenidaMéxico,6,2.0,140.0,,,6716881
130000000,3653,161893,Lampa,ValleGrande,2,1.0,60.0,100.0,3.0,10895192
177950000,5000,221606,Maipú,Huenteno,5,3.0,100.0,166.0,2.0,9546935
188627000,5300,234903,Peñaflor,CondominioSol,3,3.0,90.0,120.0,3.0,9978976
80000000,2248,99626,SanBernardo,Villaalameda,4,3.0,,,2.0,11449618
305718100,8590,380720,Huechuraba,ElSauce,4,4.0,140.0,250.0,3.0,11429525
444839410,12499,553972,Huechuraba,SantaMartadeHuechuraba,5,5.0,180.0,580.0,5.0,7971323
115000000,3231,143213,ElMonte,IgnacioPalmaVicuña218,3,3.0,100.0,170.0,2.0,11440454
316751000,8900,394460,Ñuñoa,DoctorGenaroBenavides,4,3.0,145.0,285.0,3.0,11433288
261195010,7339,325274,Providencia,DiegodeAlmagroconSuecia,4,3.0,94.0,104.0,1.0,11425958
40000000,1124,49813,Santiago,JuanMartínezdeRozas2454,3,1.0,37.0,32.0,,11423079
99000000,2782,123288,Macul,JorgeGonzálezBastías4215,2,1.0,70.0,128.0,1.0,9630477
56000000,1573,69738,PedroAguirreCerda,Pje.43276,3,1.0,65.0,70.0,,9630592
709308700,19930,883323,Santiago,Sta.Elena1130,7,3.0,3467.0,752.0,4.0,10721217
571895710,16069,712199,Ñuñoa,Hannoverconestrellasolitaria,6,2.0,157.0,408.0,6.0,11417583
4520,0,6,Santiago,CostaneraFerreaPoniente,4,3.0,82.0,140.0,4.0,11399089
150000000,4215,186800,Peñalolén,Peñalolén,5,4.0,130.0,175.0,3.0,6211455
320310000,9000,398892,Buin,AltoSacramento,4,3.0,188.0,350.0,6.0,11381269
198000000,5563,246575,EstaciónCentral,EstaciónCentral,7,3.0,180.0,120.0,2.0,5395066
601471000,16900,749030,Colina,CondominioCanquénNorte,4,3.0,270.0,580.0,4.0,9752751
137000000,3849,170610,Conchalí,SeisPoniente,6,2.0,156.0,192.0,1.0,5093646
137021500,3850,170637,PuenteAlto,LosCastaños1059,3,1.0,85.0,185.0,2.0,11338850
183500000,5156,228518,SanBernardo,CondominioParqueBalmaceda,4,3.0,108.0,182.0,2.0,3513793
560000000,15735,697385,Buin,Calleelbosque,6,3.0,550.0,2000.0,3.0,5857769
265000000,7446,330012,Macul,Av.Marathon2400,4,2.0,144.0,221.0,3.0,7580054
11057,0,14,Providencia,MiguelClaroconSantaIsabelProvidencia,3,2.0,229.0,248.0,2.0,10929361
134530200,3780,167534,Maipú,Av.BosqueAlto3129,3,3.0,76.0,118.0,2.0,9231182
354000000,9947,440847,CaleradeTango,SanJosédeTango,3,3.0,218.0,5000.0,6.0,8310493
150000000,4215,186800,Independencia,LongitudinalSeis1223,3,1.0,76.0,145.0,1.0,11010819
120000000,3372,149440,Maipú,Berkley,4,1.0,170.0,220.0,1.0,10801762
135242000,3800,168421,Buin,PastorPoncianoYañez,3,2.0,89.0,212.0,2.0,8620279
138089200,3880,171967,PadreHurtado,FernandoMuñozRojas1133,3,2.0,74.0,140.0,1.0,11252860
75900000,2133,94521,LaFlorida,SantaJulia,6,2.0,110.0,154.0,1.0,10563501
294685200,8280,366980,Santiago,Colin,5,3.0,263.0,23000.0,,9347456
533850000,15000,664819,LasCondes,DomingoBondi/AlonsodeCamargo,4,2.0,170.0,468.0,3.0,11212213
80000000,2248,99626,PadreHurtado,Sanbenedictino52villaSantafe,5,3.0,106.0,168.0,2.0,10223385
142360000,4000,177285,Lampa,LaMontañaNte.3650,3,3.0,84.0,133.0,2.0,8722194
